"Voornaam","Jaar","Aantal"
"Aagje","2002",10
"Aagje","2003",8
"Aagje","2004",10
"Aagje","2005",19
"Aagje","2006",11
"Aagje","2007",10
"Aagje","2008",11
"Aagje","2009",12
"Aagje","2010",11
"Aagje","2011",8
"Aagje","2012",11
"Aagje","2013",7
"Aagje","2017",5
"Aagje","1996",10
"Aagje","1997",7
"Aagje","1998",6
"Aagje","1999",5
"Aagje","2000",5
"Aagje","2001",12
"Aaliyah","2002",18
"Aaliyah","2003",22
"Aaliyah","2004",19
"Aaliyah","2005",14
"Aaliyah","2006",22
"Aaliyah","2007",17
"Aaliyah","2008",20
"Aaliyah","2009",24
"Aaliyah","2010",18
"Aaliyah","2011",18
"Aaliyah","2012",20
"Aaliyah","2013",26
"Aaliyah","2014",31
"Aaliyah","2015",23
"Aaliyah","2016",26
"Aaliyah","2017",38
"Aaliyah","2018",26
"Aaliyah","2019",42
"Aaliyah","2001",11
"Aalyah","2016",6
"Aaricia","2002",5
"Aaricia","2004",5
"Aaricia","2006",5
"Aaricia","2010",5
"Aaricia","1996",5
"Aaricia","1997",7
"Aaricia","1998",6
"Aaricia","1999",5
"Aaricia","2001",5
"Abby","2005",8
"Abby","2006",8
"Abby","2007",9
"Abby","2008",8
"Abby","2009",7
"Abby","2010",11
"Abby","2011",7
"Abby","2012",9
"Abby","2014",8
"Abby","2016",8
"Abby","2017",13
"Abby","2018",8
"Abby","2019",12
"Abbygail","2012",6
"Abbygail","2013",8
"Abbygaëlle","2012",5
"Abbygaëlle","2015",5
"Abigael","2009",5
"Abigael","2013",7
"Abigail","2002",13
"Abigail","2003",9
"Abigail","2004",8
"Abigail","2005",16
"Abigail","2006",9
"Abigail","2007",6
"Abigail","2008",8
"Abigail","2009",12
"Abigail","2010",14
"Abigail","2011",21
"Abigail","2012",16
"Abigail","2013",21
"Abigail","2014",14
"Abigail","2015",16
"Abigail","2016",19
"Abigail","2017",24
"Abigail","2018",31
"Abigail","2019",16
"Abigail","1997",14
"Abigail","2000",5
"Abigail","2001",9
"Abigaël","2006",6
"Abigaël","2008",13
"Abigaël","2009",9
"Abigaël","2010",8
"Abigaël","2011",9
"Abigaël","2013",9
"Abigaël","2014",12
"Abigaël","2015",6
"Abigaël","2016",7
"Abigaël","2017",5
"Abigaël","2018",6
"Abigaël","1995",5
"Abigaëlle","2007",5
"Abigaëlle","2008",6
"Abigaëlle","2009",9
"Abigaëlle","2010",6
"Abigaëlle","2011",14
"Abigaëlle","2012",12
"Abigaëlle","2013",12
"Abigaëlle","2014",8
