"Voornaam","Jaar","Aantal"
"Aaron","2002",102
"Aaron","2003",115
"Aaron","2004",101
"Aaron","2005",161
"Aaron","2006",175
"Aaron","2007",196
"Aaron","2008",253
"Aaron","2009",246
"Aaron","2010",239
"Aaron","2011",230
"Aaron","2012",245
"Aaron","2013",211
"Aaron","2014",220
"Aaron","2015",235
"Aaron","2016",217
"Aaron","2017",218
"Aaron","2018",198
"Aaron","2019",167
"Aaron","1995",106
"Aaron","1996",88
"Aaron","1997",101
"Aaron","1998",124
"Aaron","1999",125
"Aaron","2000",122
"Aaron","2001",130
"Aarón","2016",5
"Abbas","2008",5
"Abbas","2015",5
"Abbas","2017",5
"Abbas","2018",7
"Abd","2012",7
"Abd","2015",5
"Abd","2019",5
"Abdallah","2002",6
"Abdallah","2003",7
"Abdallah","2004",5
"Abdallah","2005",11
"Abdallah","2006",15
"Abdallah","2007",13
"Abdallah","2008",8
"Abdallah","2009",19
"Abdallah","2010",9
"Abdallah","2011",13
"Abdallah","2012",9
"Abdallah","2013",10
"Abdallah","2014",15
"Abdallah","2015",15
"Abdallah","2016",16
"Abdallah","2017",14
"Abdallah","2018",7
"Abdallah","2019",9
"Abdallah","1999",5
"Abdallah","2001",7
"Abdel","2002",14
"Abdel","2003",7
"Abdel","2004",8
"Abdel","2005",16
"Abdel","2006",10
"Abdel","2007",15
"Abdel","2008",17
"Abdel","2009",10
"Abdel","2010",10
"Abdel","2011",17
"Abdel","2012",16
"Abdel","2013",11
"Abdel","2014",8
"Abdel","2015",10
"Abdel","2016",6
"Abdel","2017",10
"Abdel","2018",14
"Abdel","2019",7
"Abdel","1995",9
"Abdel","1996",6
"Abdel","1997",12
"Abdel","1998",7
"Abdel","1999",6
"Abdel","2000",9
"Abdel","2001",6
"Abdelaziz","2004",5
"Abdelaziz","1996",6
"Abdelhafid","1999",5
"Abdelhakim","2002",8
"Abdelhakim","2003",8
"Abdelhakim","2004",5
"Abdelhakim","2005",9
"Abdelhakim","2011",6
"Abdelhakim","1995",11
"Abdelhakim","1996",8
"Abdelhakim","1997",8
"Abdelhakim","1998",8
"Abdelhakim","2000",6
"Abdelhakim","2001",5
"Abdelhamid","2015",7
"Abdelilah","2002",5
"Abdelilah","2004",8
"Abdelilah","2005",6
"Abdelilah","2006",5
"Abdelilah","2009",5
"Abdelilah","1995",7
"Abdelilah","1996",7
"Abdelilah","1997",10
"Abdelilah","1998",11
"Abdelilah","1999",9
"Abdelilah","2000",9
"Abdelilah","2001",7
"Abdeljalil","2001",5
"Abdelkader","2003",5
"Abdelkader","2005",9
"Abdelkader","2006",6
"Abdelkader","2008",6
"Abdelkader","2009",10
"Abdelkader","2010",5
"Abdelkader","2011",7
"Abdelkader","2015",10
"Abdelkader","1995",6
"Abdelkader","1996",6
"Abdelkader","1999",7
"Abdelkader","2001",7
"Abdelkarim","2002",5
"Abdelkarim","2003",7
"Abdelkarim","2004",11
"Abdelkarim","2005",7
"Abdelkarim","2008",6
"Abdelkarim","2009",7
"Abdelkarim","2012",6
"Abdelkarim","1995",15
"Abdelkarim","1996",7
"Abdelkarim","1997",9
"Abdelkarim","1998",10
"Abdelkarim","2000",8
"Abdelkarim","2001",6
"Abdellah","2002",13
"Abdellah","2003",15
"Abdellah","2004",29
"Abdellah","2005",17
"Abdellah","2006",20
"Abdellah","2007",22
"Abdellah","2008",32
"Abdellah","2009",26
"Abdellah","2010",24
"Abdellah","2011",26
"Abdellah","2012",25
"Abdellah","2013",16
"Abdellah","2014",20
"Abdellah","2015",16
"Abdellah","2016",8
"Abdellah","2017",12
"Abdellah","2018",13
"Abdellah","2019",11
"Abdellah","1995",7
"Abdellah","1996",6
"Abdellah","1997",9
"Abdellah","1998",15
"Abdellah","1999",13
"Abdellah","2000",12
"Abdellah","2001",12
"Abdellatif","2006",6
"Abdelmajid","1996",5
"Abdelmajid","1997",6
"Abdelmalik","2009",5
"Abdelmalik","2010",5
"Abdelrahman","2004",5
"Abdelrahman","2005",7
"Abdelrahman","2007",5
"Abdelrahman","2008",7
"Abdelrahman","2013",6
"Abdelrahman","2015",6
"Abdelrahman","2017",5
"Abderahman","2009",5
"Abderahman","2011",5
"Abderahman","2012",8
"Abderahman","2013",5
"Abderahman","2015",6
"Abderrahim","2002",5
"Abderrahim","2006",5
"Abderrahim","2008",7
"Abderrahim","1995",7
"Abderrahim","1996",5
"Abderrahim","1997",7
"Abderrahim","1998",5
"Abderrahim","1999",5
"Abderrahman","2006",7
"Abderrahman","2008",10
"Abderrahman","2009",10
"Abderrahman","2010",9
"Abderrahman","2011",13
"Abderrahman","2012",12
"Abderrahman","2013",14
"Abderrahman","2014",13
"Abderrahman","2015",16
"Abderrahman","2016",18
"Abderrahman","2017",13
"Abderrahman","2018",9
"Abderrahman","2019",10
"Abderrahman","1996",5
"Abderrahman","1997",5
"Abderrahman","2000",5
"Abderrahmane","2003",8
"Abderrahmane","2004",13
"Abderrahmane","2005",5
"Abderrahmane","2006",7
"Abderrahmane","2007",10
"Abderrahmane","2008",7
"Abderrahmane","2009",13
"Abderrahmane","2010",9
"Abderrahmane","2011",8
"Abderrahmane","2013",9
"Abderrahmane","2014",9
"Abderrahmane","2015",5
"Abderrahmane","2016",7
"Abderrahmane","2017",8
"Abderrahmane","2018",9
"Abderrahmane","2019",5
"Abderrahmane","1997",7
"Abderrahmane","1998",8
"Abderrahmane","1999",10
"Abderrahmane","2000",8
"Abderrahmane","2001",6
"Abdessamad","2003",5
"Abdessamad","2005",8
"Abdessamad","2008",7
"Abdessamad","2011",7
"Abdessamad","2012",5
"Abdessamad","1995",7
"Abdessamad","1997",6
"Abdessamad","1998",9
"Abdessamad","1999",12
"Abdessamad","2000",6
"Abdessamad","2001",8
"Abdil","2002",5
"Abdil","2003",6
"Abdil","2012",5
"Abdoul","2006",5
"Abdoul","2009",9
"Abdoul","2010",13
"Abdoul","2011",9
"Abdoul","2012",13
"Abdoul","2013",9
"Abdoul","2014",9
"Abdoul","2015",14
"Abdoul","2016",9
"Abdoul","2017",7
"Abdoul","2018",12
"Abdoul","2019",15
"Abdoulaye","2007",5
"Abdoulaye","2008",5
"Abdoulaye","2009",8
"Abdoulaye","2010",9
"Abdoulaye","2011",13
"Abdoulaye","2012",10
"Abdoulaye","2013",16
"Abdoulaye","2014",14
"Abdoulaye","2015",22
"Abdoulaye","2016",14
"Abdoulaye","2017",10
"Abdoulaye","2018",23
"Abdoulaye","2019",17
"Abdoullah","2004",5
"Abdoullah","2006",7
"Abdoullah","2007",5
"Abdoullah","2008",9
"Abdoullah","2009",5
"Abdoullah","2010",8
"Abdoullah","2011",9
"Abdoullah","2012",10
"Abdoullah","2013",12
